objectid,mode,lineabbr,month_,year_,servicetype,avgboardings,city,county
115,Fixed Route Bus - Regular,2,November,2022,SUN,274.083332999999982,Salt Lake City,Salt Lake
116,Fixed Route Bus - Regular,2,February,2022,SAT,793.450000000000045,Salt Lake City,Salt Lake
117,Fixed Route Bus - Regular,2,April,2022,SUN,318.596667000000025,Salt Lake City,Salt Lake
118,Fixed Route Bus - Regular,2,April,2022,SAT,618.183999999999969,Salt Lake City,Salt Lake
119,Fixed Route Bus - Regular,2,August,2022,WKD,1390.995750999999927,Salt Lake City,Salt Lake
120,Fixed Route Bus - Regular,2,June,2022,SUN,266.800000000000011,Salt Lake City,Salt Lake
121,Fixed Route Bus - Regular,2,June,2022,WKD,1162.384762000000137,Salt Lake City,Salt Lake
122,Fixed Route Bus - Regular,2,October,2022,WKD,1431.962698000000046,Salt Lake City,Salt Lake
123,Fixed Route Bus - Regular,2,March,2022,SAT,712.333333000000039,Salt Lake City,Salt Lake
124,Fixed Route Bus - Regular,2,November,2022,SAT,474.016666999999984,Salt Lake City,Salt Lake
125,Fixed Route Bus - Regular,2,May,2022,SAT,479.216667000000029,Salt Lake City,Salt Lake
126,Fixed Route Bus - Regular,2,February,2022,WKD,1687.102532999999994,Salt Lake City,Salt Lake
127,Fixed Route Bus - Regular,2,September,2022,WKD,1779.891456999999946,Salt Lake City,Salt Lake
128,Fixed Route Bus - Regular,2,December,2022,WKD,976.807597999999984,Salt Lake City,Salt Lake
129,Fixed Route Bus - Regular,2,October,2022,SUN,264.100000000000023,Salt Lake City,Salt Lake
130,Fixed Route Bus - Regular,2,February,2022,SUN,372.583332999999982,Salt Lake City,Salt Lake
131,Fixed Route Bus - Regular,2,September,2022,SUN,281.083332999999982,Salt Lake City,Salt Lake
132,Fixed Route Bus - Regular,2,March,2022,SUN,294.750000000000000,Salt Lake City,Salt Lake
133,Fixed Route Bus - Regular,2,May,2022,SUN,249.879999999999995,Salt Lake City,Salt Lake
134,Fixed Route Bus - Regular,2,November,2022,WKD,1445.526366999999937,Salt Lake City,Salt Lake
135,Fixed Route Bus - Regular,2,May,2022,WKD,1152.323074000000133,Salt Lake City,Salt Lake
136,Fixed Route Bus - Regular,2,May,2021,SAT,484.550000000000011,Salt Lake City,Salt Lake
137,Fixed Route Bus - Regular,2,February,2021,WKD,769.266898999999967,Salt Lake City,Salt Lake
138,Fixed Route Bus - Regular,2,August,2021,SUN,282.466667000000029,Salt Lake City,Salt Lake
139,Fixed Route Bus - Regular,2,February,2021,SAT,440.250000000000000,Salt Lake City,Salt Lake
140,Fixed Route Bus - Regular,2,October,2021,SAT,602.683333000000061,Salt Lake City,Salt Lake
141,Fixed Route Bus - Regular,2,March,2021,WKD,799.429499999999962,Salt Lake City,Salt Lake
142,Fixed Route Bus - Regular,2,December,2021,SAT,597.000000000000000,Salt Lake City,Salt Lake
143,Fixed Route Bus - Regular,2,April,2021,SAT,493.194999999999993,Salt Lake City,Salt Lake
144,Fixed Route Bus - Regular,2,January,2021,SUN,168.000000000000000,Salt Lake City,Salt Lake
145,Fixed Route Bus - Regular,2,May,2021,WKD,865.200346999999965,Salt Lake City,Salt Lake
146,Fixed Route Bus - Regular,2,May,2021,SUN,197.683333000000005,Salt Lake City,Salt Lake
147,Fixed Route Bus - Regular,2,September,2021,SUN,294.250000000000000,Salt Lake City,Salt Lake
148,Fixed Route Bus - Regular,2,October,2021,WKD,1482.745423999999957,Salt Lake City,Salt Lake
149,Fixed Route Bus - Regular,2,January,2021,WKD,722.328403999999978,Salt Lake City,Salt Lake
150,Fixed Route Bus - Regular,2,February,2021,SUN,208.333333000000010,Salt Lake City,Salt Lake
151,Fixed Route Bus - Regular,2,April,2021,SUN,213.500000000000000,Salt Lake City,Salt Lake
152,Fixed Route Bus - Regular,2,July,2021,SAT,519.392856999999935,Salt Lake City,Salt Lake
153,Fixed Route Bus - Regular,2,January,2021,SAT,399.300000000000011,Salt Lake City,Salt Lake
154,Fixed Route Bus - Regular,2,November,2021,SAT,621.366666999999893,Salt Lake City,Salt Lake
155,Fixed Route Bus - Regular,2,April,2021,WKD,881.702095999999983,Salt Lake City,Salt Lake
156,Fixed Route Bus - Regular,2,September,2021,WKD,1615.096109999999953,Salt Lake City,Salt Lake
157,Fixed Route Bus - Regular,2,November,2021,SUN,342.500000000000000,Salt Lake City,Salt Lake
158,Fixed Route Bus - Regular,2,June,2021,WKD,905.955838999999969,Salt Lake City,Salt Lake
159,Fixed Route Bus - Regular,2,March,2021,SUN,200.333333000000010,Salt Lake City,Salt Lake
160,Fixed Route Bus - Regular,2,August,2021,SAT,558.615000000000009,Salt Lake City,Salt Lake
161,Fixed Route Bus - Regular,2,August,2021,WKD,1289.862174999999979,Salt Lake City,Salt Lake
162,Fixed Route Bus - Regular,2,December,2021,WKD,1173.406780000000026,Salt Lake City,Salt Lake
163,Fixed Route Bus - Regular,2,November,2021,WKD,1583.898562999999967,Salt Lake City,Salt Lake
164,Fixed Route Bus - Regular,2,September,2021,SAT,614.700000000000045,Salt Lake City,Salt Lake
165,Fixed Route Bus - Regular,2,July,2021,WKD,1000.845236000000000,Salt Lake City,Salt Lake
166,Fixed Route Bus - Regular,2,June,2021,SUN,226.750000000000000,Salt Lake City,Salt Lake
167,Fixed Route Bus - Regular,2,March,2021,SAT,429.333332999999982,Salt Lake City,Salt Lake
168,Fixed Route Bus - Regular,2,June,2021,SAT,510.000000000000000,Salt Lake City,Salt Lake
169,Fixed Route Bus - Regular,2,December,2021,SUN,256.300000000000011,Salt Lake City,Salt Lake
170,Fixed Route Bus - Regular,2,October,2021,SUN,325.233332999999959,Salt Lake City,Salt Lake
171,Fixed Route Bus - Regular,2,July,2021,SUN,235.916666999999990,Salt Lake City,Salt Lake
172,Fixed Route Bus - Regular,2,November,2020,WKD,715.686888999999951,Salt Lake City,Salt Lake
173,Fixed Route Bus - Regular,2,July,2020,WKD,434.217506999999955,Salt Lake City,Salt Lake
174,Fixed Route Bus - Regular,2,September,2020,SUN,219.750000000000000,Salt Lake City,Salt Lake
175,Fixed Route Bus - Regular,2,February,2020,SUN,301.916667000000018,Salt Lake City,Salt Lake
176,Fixed Route Bus - Regular,2,June,2020,SUN,131.916666999999990,Salt Lake City,Salt Lake
177,Fixed Route Bus - Regular,2,June,2020,SAT,230.750000000000000,Salt Lake City,Salt Lake
178,Fixed Route Bus - Regular,2,April,2020,SAT,234.250000000000000,Salt Lake City,Salt Lake
179,Fixed Route Bus - Regular,2,April,2020,SUN,121.000000000000000,Salt Lake City,Salt Lake
180,Fixed Route Bus - Regular,2,October,2020,SUN,192.216667000000001,Salt Lake City,Salt Lake
181,Fixed Route Bus - Regular,2,September,2020,SAT,447.350000000000023,Salt Lake City,Salt Lake
182,Fixed Route Bus - Regular,2,January,2020,SUN,289.500000000000000,Salt Lake City,Salt Lake
183,Fixed Route Bus - Regular,2,March,2020,WKD,1105.146199000000024,Salt Lake City,Salt Lake
184,Fixed Route Bus - Regular,2,May,2020,SAT,216.349999999999994,Salt Lake City,Salt Lake
185,Fixed Route Bus - Regular,2,February,2020,WKD,2156.705915000000005,Salt Lake City,Salt Lake
186,Fixed Route Bus - Regular,2,August,2020,WKD,556.687624000000028,Salt Lake City,Salt Lake
187,Fixed Route Bus - Regular,2,November,2020,SUN,162.800000000000011,Salt Lake City,Salt Lake
188,Fixed Route Bus - Regular,2,July,2020,SUN,171.333333000000010,Salt Lake City,Salt Lake
189,Fixed Route Bus - Regular,2,April,2020,WKD,304.578036999999995,Salt Lake City,Salt Lake
190,Fixed Route Bus - Regular,2,October,2020,SAT,433.300000000000011,Salt Lake City,Salt Lake
191,Fixed Route Bus - Regular,2,December,2020,WKD,608.112377000000038,Salt Lake City,Salt Lake
192,Fixed Route Bus - Regular,2,May,2020,WKD,360.403525999999999,Salt Lake City,Salt Lake
193,Fixed Route Bus - Regular,2,July,2020,SAT,246.250000000000000,Salt Lake City,Salt Lake
194,Fixed Route Bus - Regular,2,January,2020,WKD,2016.749784000000091,Salt Lake City,Salt Lake
195,Fixed Route Bus - Regular,2,June,2020,WKD,384.633343000000025,Salt Lake City,Salt Lake
196,Fixed Route Bus - Regular,2,November,2020,SAT,396.566666999999995,Salt Lake City,Salt Lake
197,Fixed Route Bus - Regular,2,March,2020,SUN,209.666666999999990,Salt Lake City,Salt Lake
198,Fixed Route Bus - Regular,2,December,2020,SAT,365.916667000000018,Salt Lake City,Salt Lake
199,Fixed Route Bus - Regular,2,January,2020,SAT,692.250000000000000,Salt Lake City,Salt Lake
200,Fixed Route Bus - Regular,2,February,2020,SAT,821.549999999999955,Salt Lake City,Salt Lake
201,Fixed Route Bus - Regular,2,March,2020,SAT,483.583332999999982,Salt Lake City,Salt Lake
202,Fixed Route Bus - Regular,2,May,2020,SUN,149.485714000000002,Salt Lake City,Salt Lake
203,Fixed Route Bus - Regular,2,August,2020,SUN,160.000000000000000,Salt Lake City,Salt Lake
204,Fixed Route Bus - Regular,2,August,2020,SAT,273.597332999999992,Salt Lake City,Salt Lake
205,Fixed Route Bus - Regular,2,October,2020,WKD,742.457556999999952,Salt Lake City,Salt Lake
206,Fixed Route Bus - Regular,2,December,2020,SUN,153.500000000000000,Salt Lake City,Salt Lake
207,Fixed Route Bus - Regular,2,September,2020,WKD,812.498393999999962,Salt Lake City,Salt Lake
208,Fixed Route Bus - Regular,2,October,2019,SAT,804.583333000000039,Salt Lake City,Salt Lake
209,Fixed Route Bus - Regular,2,March,2019,WKD,1773.900756000000001,Salt Lake City,Salt Lake
210,Fixed Route Bus - Regular,2,March,2019,SAT,186.833333000000010,Salt Lake City,Salt Lake
